iter	Passed	Remaining
173	709	27830
174	711	27740
175	723	28035
176	726	27990
177	728	27901
178	737	28121
179	741	28095
180	743	28025
181	745	27926
182	747	27832
183	748	27730
184	752	27733
185	755	27670
186	757	27588
187	775	28095
188	778	28038
189	780	27987
190	791	28213
191	795	28219
192	799	28190
193	804	28233
194	806	28143
195	807	28046
196	809	27954
197	811	27884
198	813	27807
199	819	27865
200	821	27784
201	822	27693
202	834	27952
203	836	27879
204	838	27802
205	840	27719
206	842	27639
207	844	27588
208	848	27583
209	850	27501
210	852	27413
211	863	27644
212	865	27569
213	866	27482
214	878	27734
215	881	27671
216	882	27592
217	884	27511
218	885	27428
219	887	27344
220	893	27404
221	895	27348
222	897	27268
223	899	27195
224	900	27120
225	902	27038
226	926	27638
227	930	27646
228	933	27606
229	939	27650
230	943	27645
231	945	27596
232	947	27523
233	956	27668
234	963	27739
235	968	27762
236	1002	28603
237	1019	28952
238	1030	29138
239	1039	29283
240	1051	29501
241	1058	29550
242	1063	29574
243	1069	29604
244	1073	29595
245	1077	29594
246	1090	29812
247	1099	29942
248	1103	29905
249	1111	30014
250	1117	30057
251	1122	30059
252	1132	30199
253	1144	30404
254	1148	30383
255	1153	30378
256	1157	30375
257	1165	30450
258	1184	30833
259	1190	30858
260	1193	30806
261	1197	30791
262	1204	30842
263	1208	30833
264	1214	30867
265	1219	30876
266	1229	30999
267	1237	31087
268	1255	31406
269	1265	31547
270	1282	31849
271	1305	32289
272	1343	33117
273	1360	33403
274	1379	33746
275	1398	34077
276	1416	34381
277	1440	34841
278	1464	35267
279	1470	35289
280	1475	35283
281	1490	35515
282	1503	35680
283	1511	35745
284	1519	35791
285	1523	35765
286	1531	35827
287	1544	36005
288	1551	36036
289	1556	36005
290	1561	35992
291	1567	36006
292	1572	35998
293	1578	35995
294	1585	36027
295	1591	36039
296	1597	36046
297	1602	36044
298	1622	36357
299	1629	36386
300	1645	36616
301	1654	36697
302	1658	36659
303	1669	36768
304	1678	36839
305	1693	37046
306	1699	37056
307	1717	37310
308	1724	37331
309	1738	37509
310	1744	37512
311	1761	37755
312	1774	37904
313	1778	37860
314	1801	38239
315	1809	38269
316	1819	38365
317	1861	39113
318	1868	39132
319	1876	39164
320	1897	39474
321	1901	39436
322	1905	39392
323	1917	39499
324	1933	39714
325	1941	39743
326	1950	39797
327	1962	39921
328	1966	39876
329	1976	39941
330	1997	40238
331	2043	41036
332	2047	40993
333	2060	41128
334	2066	41113
335	2074	41139
336	2088	41284
337	2093	41267
338	2097	41221
339	2112	41384
340	2121	41435
341	2126	41398
342	2130	41351
343	2137	41356
344	2140	41295
345	2150	41362
346	2154	41312
347	2157	41249
348	2170	41359
349	2173	41302
350	2177	41253
351	2201	41584
352	2217	41755
353	2220	41691
354	2233	41802
355	2239	41794
356	2247	41812
357	2259	41920
358	2267	41948
359	2273	41932
360	2284	42014
361	2295	42091
362	2298	42022
363	2300	41944
364	2306	41924
365	2313	41940
366	2318	41897
367	2324	41899
368	2329	41856
369	2339	41927
370	2343	41872
371	2345	41795
372	2347	41710
373	2356	41747
374	2360	41700
375	2375	41847
376	2378	41789
377	2385	41781
378	2393	41807
379	2399	41804
380	2405	41785
381	2409	41741
382	2418	41780
383	2422	41742
384	2434	41836
385	2440	41810
386	2451	41886
387	2463	41984
388	2467	41937
389	2472	41901
390	2497	42219
391	2502	42190
392	2515	42281
393	2518	42227
394	2521	42171
395	2550	42534
396	2556	42528
397	2564	42532
398	2569	42506
399	2580	42577
400	2584	42538
401	2593	42559
402	2607	42687
403	2620	42785
404	2626	42770
405	2634	42790
406	2640	42776
407	2653	42864
408	2670	43034
409	2695	43319
410	2708	43427
411	2720	43498
412	2730	43552
413	2735	43520
414	2749	43634
415	2763	43735
416	2772	43761
417	2783	43832
418	2791	43847
419	2800	43867
420	2806	43860
421	2815	43883
422	2821	43875
423	2826	43833
424	2832	43816
425	2837	43793
426	2845	43795
427	2854	43831
